Acc_X,Acc_Y,Acc_Z,Label
0.10028076,0.27270508,0.11871338,17
0.11907959,0.24230957,0.12243652,17
0.13928223,0.21948242,0.12805176,17
0.16217041,0.23175049,0.13391113,17
0.18341064,0.27807617,0.16113281,17
0.14959717,0.27539062,0.11651611,17
0.11285400400000001,0.2244873,0.076293945,17
0.099731445,0.16351318,0.06109619,17
0.06585693,0.13238525,0.039855957000000004,17
0.02746582,0.10681152,0.028747559,17
0.012329102,0.15258789,0.021240234,17
-0.001403809,0.16448975,0.0357666,17
-0.016479492,0.16870117,0.037841797,17
-0.01763916,0.17370605,0.050964355,17
-0.004272461,0.20153809,0.05871582,17
0.009033203,0.23901367,0.063964844,17
0.018981934,0.29003906,0.07983398400000001,17
0.051940917999999996,0.36523438,0.13067627,17
0.06121826,0.34387207,0.16729736,17
0.047058105,0.413208,0.10589599599999999,17
0.038391113,0.33178709999999995,0.14178467,17
0.07196045,0.28338623,0.11303711,17
0.07873535,0.20336914,0.1239624,17
0.09698486,0.20892334,0.12023926,17
0.08764648400000001,0.23687744,0.1618042,17
0.10266113,0.30523682,0.18676758,17
0.09802246,0.31750488,0.16137695,17
0.080566406,0.2756958,0.12249756,17
0.04650879,0.22601318,0.09106445,17
0.06573486,0.17120361,0.08605957,17
0.05230713,0.14160156,0.13031006,17
0.042907715,0.10894775400000001,0.071777344,17
0.042785645,0.07946777,0.07702637,17
0.04058838,0.07928467,0.08343506,17
0.048828125,0.122924805,0.070251465,17
0.05102539,0.18518066,0.07849121,17
0.05340576,0.23693848,0.09075928,17
0.06616211,0.2814331,0.10296631,17
0.079589844,0.32208252,0.0925293,17
0.1015625,0.32910156,0.08782959,17
0.08636474599999999,0.27661133,0.08648682,17
0.10308838,0.24078369,0.08160400400000001,17
0.13500977,0.23266602,0.06414795,17
0.14135742,0.21661377,0.11871338,17
0.1459961,0.21282959,0.17089844,17
